scorer,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000
individuals,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,single,single,single,single,single,single
bodyparts,nose,nose,nose,Rear,Rear,Rear,Lear,Lear,Lear,headbase,headbase,headbase,spine,spine,spine,tailbase,tailbase,tailbase,anteriorC,anteriorC,anteriorC,posteriorC,posteriorC,posteriorC
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
38,298.171,697.937,1.0,294.8,657.064,1.0,322.053,662.499,1.0,310.174,647.703,1.0,315.643,610.514,1.0,322.562,562.308,1.0,,,,,,
39,298.535,698.149,1.0,295.033,657.27,1.0,322.104,662.499,1.0,310.293,647.703,1.0,315.708,610.543,1.0,322.562,562.313,1.0,,,,,,
40,299.096,698.149,1.0,295.457,657.551,1.0,322.29,662.499,1.0,310.437,647.703,1.0,315.795,610.543,1.0,322.562,562.405,1.0,,,,,,
41,299.564,698.149,1.0,296.411,657.635,1.0,323.824,661.926,1.0,313.192,647.495,1.0,315.907,610.663,1.0,322.519,562.727,1.0,,,,,,
42,300.149,697.976,1.0,296.921,657.635,1.0,323.881,661.772,1.0,313.58,647.495,1.0,315.928,610.738,1.0,322.353,562.943,1.0,,,,,,
43,300.21,697.755,1.0,297.387,657.506,1.0,323.934,661.758,1.0,314.072,647.269,1.0,315.971,610.738,1.0,322.181,563.131,1.0,,,,,,
44,301.005,696.897,1.0,297.396,657.506,1.0,324.642,661.715,1.0,314.242,646.885,1.0,315.971,610.663,1.0,321.947,563.428,1.0,,,,,,
45,301.356,695.279,1.0,299.498,653.073,1.0,325.713,661.085,1.0,314.552,646.885,1.0,315.973,610.618,1.0,321.947,563.595,1.0,,,,,,
46,302.089,694.382,1.0,299.942,652.923,1.0,325.721,659.389,1.0,315.04,646.168,1.0,316.039,609.968,1.0,321.947,563.611,1.0,,,,,,
47,303.002,692.464,1.0,300.431,652.434,1.0,327.654,658.339,1.0,315.468,645.112,1.0,316.105,609.479,1.0,321.98,563.611,1.0,,,,,,
48,303.781,690.407,1.0,300.458,652.077,1.0,328.87,657.535,1.0,315.778,644.535,1.0,316.218,608.751,1.0,322.534,563.428,1.0,,,,,,
49,304.123,687.846,1.0,302.211,651.306,1.0,329.27,656.667,1.0,317.016,642.819,1.0,317.381,607.321,1.0,322.997,562.982,1.0,,,,,,
50,304.502,687.804,1.0,303.679,648.565,1.0,330.111,652.945,1.0,318.588,642.05,1.0,317.491,606.895,1.0,323.176,562.82,1.0,,,,,,
51,304.502,686.545,1.0,303.679,648.469,1.0,330.24,652.761,1.0,318.701,641.416,1.0,317.491,606.577,1.0,323.296,562.356,1.0,,,,,,
52,304.502,684.204,1.0,303.679,648.469,1.0,330.355,652.23,1.0,318.703,639.768,1.0,317.381,606.081,1.0,323.585,562.351,1.0,,,,,,
53,303.641,684.05,1.0,303.612,648.436,1.0,330.24,651.425,1.0,318.703,639.084,1.0,317.176,605.86,1.0,323.966,561.422,1.0,,,,,,
54,303.412,683.799,1.0,301.397,648.436,1.0,330.24,651.418,1.0,318.911,637.182,1.0,316.91,605.306,1.0,324.618,561.402,1.0,,,,,,
55,303.319,683.484,1.0,300.725,648.436,1.0,329.675,651.231,1.0,318.911,637.125,1.0,316.879,605.194,1.0,324.618,561.113,1.0,,,,,,
56,302.294,682.233,1.0,300.116,648.436,1.0,329.675,650.989,1.0,318.911,637.046,1.0,316.876,604.975,1.0,324.67,561.113,1.0,,,,,,
57,302.294,682.233,1.0,299.609,647.705,1.0,329.673,650.897,1.0,317.94,636.061,1.0,316.871,604.856,1.0,324.737,560.83,1.0,,,,,,
58,302.192,680.691,1.0,299.528,645.82,1.0,329.675,650.52,1.0,317.909,634.411,1.0,316.871,604.352,1.0,324.807,560.097,1.0,,,,,,
59,301.426,678.399,1.0,299.528,644.797,1.0,330.053,650.351,1.0,317.909,633.812,1.0,316.394,604.314,1.0,325.116,558.757,1.0,,,,,,
60,301.664,677.278,1.0,299.528,643.535,1.0,330.053,650.035,1.0,317.823,633.264,1.0,316.394,604.234,1.0,325.996,557.552,1.0,,,,,,
61,301.677,675.02,1.0,300.047,642.412,1.0,329.964,649.838,1.0,317.738,631.913,1.0,316.989,598.069,1.0,325.996,557.552,1.0,,,,,,
